pickup_distance_km,time_difference_min,route_overlap_percent,detour_km,destination_compatibility,preference_compatible,match
0.66,20,51.05,3.52,0.77,1,0
1.45,4,58.0,0.77,0.67,0,1
3.73,11,95.23,2.06,0.93,0,1
2.92,11,89.54,2.25,0.54,1,1
1.72,5,58.48,0.41,0.48,0,1
2.27,23,75.24,2.03,0.99,0,1
0.78,8,65.95,0.33,0.34,1,1
1.12,7,28.43,3.34,0.63,0,0
1.44,21,79.56,1.3,0.45,1,1
3.53,15,70.97,3.34,0.57,0,0
3.06,5,93.24,1.44,0.78,1,1
0.95,25,95.18,2.03,0.22,0,1
1.49,26,30.88,3.57,0.13,1,0
1.04,1,14.53,1.95,0.74,0,0
1.17,26,23.15,1.25,0.03,0,0
0.71,30,90.35,3.36,0.43,1,0
2.2,25,38.21,2.33,0.97,1,0
2.32,15,29.69,0.45,0.83,1,0
3.39,21,28.5,3.49,0.86,1,0
1.0,26,38.07,0.9,0.22,1,0
1.22,22,0.6,1.05,0.39,1,0
2.46,11,99.98,0.99,0.12,1,1
3.42,9,62.04,3.56,0.93,1,0
4.0,9,30.12,0.44,0.04,1,0
1.51,24,97.82,1.01,0.01,0,1
1.33,1,36.68,1.23,0.25,1,1
3.63,12,70.62,0.61,0.62,1,1
3.31,12,79.19,3.92,0.38,1,0
0.76,0,7.54,1.92,0.43,0,0
3.35,23,46.36,2.31,0.08,0,0
2.29,9,33.85,1.5,0.6,1,0
1.92,12,4.15,2.63,0.27,0,0
2.55,18,34.92,2.4,0.53,0,0
0.91,24,87.49,1.24,0.75,1,1
0.65,10,93.46,2.46,0.17,0,1
4.7,9,92.89,2.8,0.16,0,0
0.89,10,67.65,2.92,0.01,1,0
4.42,28,30.02,2.22,0.35,1,0
4.56,7,2.3,2.28,0.29,1,0
4.84,29,24.26,1.49,0.53,1,0
0.19,25,52.55,3.52,0.57,0,0
1.19,3,56.41,1.0,0.54,1,1
1.93,20,74.02,0.15,0.55,1,1
1.19,5,73.74,1.55,0.73,1,1
2.05,11,28.9,1.21,0.9,1,0
2.68,14,33.71,3.82,0.92,0,0
2.89,21,10.82,3.47,0.98,0,0
3.39,18,49.18,3.17,0.2,0,0
1.09,26,62.79,0.18,0.67,0,1
3.7,29,74.68,2.19,0.8,0,0
1.68,19,68.07,3.86,0.79,1,0
4.43,27,11.52,0.25,0.73,1,0
2.8,18,40.27,0.65,0.76,0,0
1.2,1,90.87,3.02,0.07,1,1
0.93,21,84.83,1.18,0.71,0,1
4.98,2,41.03,1.74,0.45,0,0
1.56,14,59.27,0.83,0.02,1,0
0.52,17,3.31,3.84,0.48,0,0
0.5,26,78.41,3.28,0.37,0,1
4.88,15,51.23,2.99,0.21,1,0
4.93,21,67.9,0.64,0.99,1,0
1.23,29,70.84,1.82,0.02,1,1
0.9,0,33.4,3.17,0.0,0,0
2.68,12,58.25,1.11,0.01,1,0
2.36,30,75.01,2.02,0.69,1,1
0.57,1,71.5,2.89,0.55,0,1
1.59,26,38.72,1.78,0.1,0,0
0.74,27,89.13,0.78,0.15,0,1
2.59,15,98.06,0.34,0.57,1,1
4.77,30,44.66,3.98,0.97,0,0
0.32,24,11.55,1.09,0.54,0,0
3.85,8,83.5,3.82,0.14,0,0
0.14,27,61.07,0.57,0.97,0,1
1.36,30,41.08,1.52,0.1,1,0
0.72,5,67.83,0.94,0.94,0,1
2.92,24,42.38,2.7,0.3,0,0
3.51,27,6.79,2.57,0.4,1,0
1.47,20,63.26,0.25,0.57,0,1
3.05,5,74.83,3.92,0.94,1,1
2.03,16,65.23,0.26,0.81,0,1
3.26,17,96.39,3.14,0.22,0,0
1.02,9,80.61,3.31,0.11,1,1
2.91,7,68.16,2.74,0.74,1,0
2.07,6,86.28,2.55,0.23,0,0
4.94,20,13.31,3.95,0.07,1,0
2.24,5,53.79,0.37,0.21,1,1
3.72,4,64.77,0.72,0.24,1,1
4.69,23,52.7,3.78,0.22,0,0
0.11,29,70.55,3.34,0.71,0,1
3.3,21,42.33,3.3,0.29,1,0
3.63,2,72.06,0.23,0.33,1,1
3.95,17,1.17,3.75,0.8,0,0
0.51,8,55.18,3.75,0.19,0,0
4.93,27,63.67,3.6,0.36,0,0
0.44,8,35.41,0.38,0.73,0,1
3.61,14,86.04,1.27,0.32,0,1
2.92,9,52.33,3.72,0.96,0,0
3.53,1,87.63,3.36,0.79,1,1
2.28,25,14.16,1.22,0.49,0,0
4.94,1,6.71,2.98,0.17,0,0
0.77,28,9.82,2.36,0.16,1,0
1.09,8,4.79,1.77,0.77,1,0
0.53,24,94.51,3.45,0.18,0,0
2.26,21,53.36,3.13,0.55,0,0
1.24,12,75.39,1.15,0.58,1,1
0.27,29,70.88,3.42,0.45,0,1
2.46,26,85.46,2.2,0.23,0,0
0.92,10,16.81,1.31,0.55,0,0
3.39,0,51.66,0.17,0.61,0,1
1.45,29,76.08,2.04,0.57,1,1
2.52,15,39.37,1.41,0.92,1,0
1.97,8,18.97,1.56,0.74,0,0
2.5,0,5.09,2.76,0.92,1,0
3.15,24,57.0,0.62,0.38,1,0
4.5,21,16.4,2.57,0.82,1,0
4.26,6,29.93,1.46,0.17,0,0
4.05,10,56.16,2.71,0.21,1,0
4.72,29,31.9,3.47,0.55,1,0
4.16,23,32.76,0.54,1.0,1,0
3.07,25,73.73,1.04,0.66,0,0
4.48,21,71.82,1.48,0.53,1,1
3.92,0,16.42,3.32,0.21,1,0
0.69,26,58.39,2.69,0.27,1,0
3.53,23,6.66,2.81,0.92,1,0
2.78,3,29.7,3.55,0.6,1,0
3.7,23,28.9,3.65,0.81,1,0
1.29,17,76.04,3.99,0.55,1,1
1.16,8,50.35,3.78,0.79,0,0
0.61,30,96.96,3.16,0.62,1,0
